location_id,location_name,address,category,google_maps_link
1,Open Space Universitas Lambung Mangkurat,"Jl. Brigjen H. Hasan Basry, Kel. Pangeran, Kec. Banjarmasin Utara",park,"http://maps.google.com/?q=-3.2973146,114.5868619"
7,Taman Siring 0 Kilometer Banjarmasin,"Jl. Jenderal Sudirman No. 1, Kel. Gadang, Kec. Banjarmasin Tengah",park,"http://maps.google.com/?q=-3.315039,114.592524"
8,Taman Kamboja,"Jl. H. Anang Adenansi, Kel. Kertak Baru Ilir, Kec. Banjarmasin Tengah",park,"http://maps.google.com/?q=-3.3221064,114.5872086"
9,South Kalimantan Cultural Park,"Jl. Brigjen H. Hasan Basry No. 2, Kel. Sungai Miai, Kec. Banjarmasin Utara",park,"http://maps.google.com/?q=-3.2979914,114.5901445"
